actual distance,mean distance,std distance,mean strenght,std strenght
0,0.0,0.0,12.45,4.045465297550359
10,6.45,0.5104177855340405,1333.45,311.84062646773504
20,17.3,0.47016234598162665,2270.05,202.75250014682786
30,27.05,0.5104177855340398,1813.3,119.09664364001107
40,36.75,0.44426165831931785,8605.15,1604.00109184239
50,47.0,0.0,6212.45,639.4492264112097
60,57.35,0.48936048492959233,4728.3,315.12856190183055
70,68.05,0.22360679774997858,3797.1,204.59662496573205
80,77.85,0.36634754853252355,2789.7,225.17714663886537
90,88.45,0.6048053188292999,1971.3,188.16904494013943
100,100.05,0.39403446282620713,1878.55,9.247901611204941
