Position_cm,Measurement_index,Distance_cm,strenght
0,1,0,11
0,2,0,8
0,3,0,13
0,4,0,11
0,5,0,9
0,6,0,10
0,7,0,11
0,8,0,11
0,9,0,17
0,10,0,15
0,11,0,18
0,12,0,19
0,13,0,10
0,14,0,4
0,15,0,14
0,16,0,18
0,17,0,14
0,18,0,17
0,19,0,12
0,20,0,7
10,1,6,9
10,2,6,1391
10,3,6,1387
10,4,7,1394
10,5,6,1399
10,6,6,1394
10,7,6,1400
10,8,7,1396
10,9,7,1399
10,10,6,1403
10,11,7,1411
10,12,6,1411
10,13,7,1410
10,14,7,1415
10,15,7,1408
10,16,6,1409
10,17,7,1411
10,18,6,1407
10,19,6,1408
10,20,7,1407
20,1,17,1409
20,2,18,2317
20,3,17,2318
20,4,18,2316
20,5,17,2312
20,6,17,2314
20,7,17,2315
20,8,18,2308
20,9,17,2306
20,10,17,2314
20,11,17,2307
20,12,17,2306
20,13,17,2316
20,14,17,2312
20,15,17,2320
20,16,18,2320
20,17,17,2324
20,18,18,2319
20,19,17,2321
20,20,18,2327
30,1,27,2319
30,2,27,1781
30,3,28,1783
30,4,27,1790
30,5,28,1783
30,6,27,1778
30,7,27,1791
30,8,27,1790
30,9,27,1794
30,10,27,1788
30,11,27,1786
30,12,27,1786
30,13,26,1784
30,14,27,1791
30,15,27,1782
30,16,27,1789
30,17,26,1790
30,18,27,1787
30,19,28,1789
30,20,27,1785
40,1,37,1791
40,2,37,8966
40,3,37,8959
40,4,37,8978
40,5,37,8978
40,6,37,8996
40,7,36,8983
40,8,36,8988
40,9,37,8985
40,10,37,8979
40,11,37,8980
40,12,36,8964
40,13,37,8963
40,14,36,8957
40,15,36,8944
40,16,37,8943
40,17,37,8936
40,18,37,8940
40,19,37,8932
40,20,37,8941
50,1,47,8929
50,2,47,6083
50,3,47,6082
50,4,47,6078
50,5,47,6077
50,6,47,6077
50,7,47,6074
50,8,47,6066
50,9,47,6069
50,10,47,6063
50,11,47,6074
50,12,47,6063
50,13,47,6067
50,14,47,6061
50,15,47,6070
50,16,47,6066
50,17,47,6064
50,18,47,6065
50,19,47,6060
50,20,47,6061
60,1,57,6067
60,2,57,4650
60,3,58,4652
60,4,57,4658
60,5,57,4657
60,6,58,4663
60,7,57,4658
60,8,58,4662
60,9,57,4652
60,10,57,4655
60,11,58,4657
60,12,57,4657
60,13,57,4658
60,14,57,4650
60,15,58,4664
60,16,58,4660
60,17,57,4659
60,18,58,4666
60,19,57,4662
60,20,57,4659
70,1,68,4666
70,2,68,3756
70,3,68,3754
70,4,68,3763
70,5,68,3741
70,6,68,3758
70,7,68,3748
70,8,68,3750
70,9,68,3757
70,10,68,3759
70,11,68,3753
70,12,68,3747
70,13,69,3748
70,14,68,3754
70,15,68,3750
70,16,68,3753
70,17,68,3746
70,18,68,3748
70,19,68,3750
70,20,68,3741
80,1,78,3746
80,2,78,2742
80,3,78,2735
80,4,78,2739
80,5,78,2733
80,6,78,2735
80,7,78,2737
80,8,78,2739
80,9,77,2731
80,10,78,2731
80,11,78,2743
80,12,78,2734
80,13,78,2736
80,14,78,2736
80,15,77,2745
80,16,78,2743
80,17,77,2738
80,18,78,2745
80,19,78,2754
80,20,78,2752
90,1,87,2751
90,2,89,2064
90,3,89,2023
90,4,88,1971
90,5,88,1917
90,6,88,1916
90,7,89,1911
90,8,89,1914
90,9,88,1910
90,10,89,1919
90,11,88,1917
90,12,89,1916
90,13,88,1912
90,14,89,1912
90,15,89,1912
90,16,89,1909
90,17,88,1918
90,18,89,1906
90,19,88,1911
90,20,88,1917
100,1,99,1913
100,2,100,1883
100,3,100,1874
100,4,100,1877
100,5,100,1873
100,6,100,1874
100,7,100,1879
100,8,100,1882
100,9,100,1879
100,10,100,1867
100,11,100,1874
100,12,100,1873
100,13,100,1881
100,14,100,1878
100,15,101,1878
100,16,100,1883
100,17,101,1870
100,18,100,1883
100,19,100,1874
100,20,100,1876
