Position_cm,Measurement_index,Distance_cm,strenght
0,1,11,4274
0,2,11,4276
0,3,11,4283
0,4,11,4276
0,5,11,4278
0,6,11,4272
0,7,11,4265
0,8,11,4239
0,9,11,4246
0,10,11,4255
0,11,11,4261
0,12,11,4272
0,13,11,4279
0,14,11,4291
0,15,11,4277
0,16,12,4281
0,17,11,4286
0,18,11,4294
0,19,11,4300
0,20,11,4291
10,1,18,4306
10,2,18,10343
10,3,18,10409
10,4,18,10452
10,5,18,10475
10,6,18,10512
10,7,18,10542
10,8,18,10552
10,9,18,10538
10,10,18,10555
10,11,18,10435
10,12,18,10644
10,13,18,10616
10,14,18,10637
10,15,18,10716
10,16,18,10789
10,17,18,10687
10,18,18,10701
10,19,18,10882
10,20,18,10815
20,1,30,10841
20,2,30,5106
20,3,30,5092
20,4,30,5089
20,5,30,5070
20,6,30,5069
20,7,30,5077
20,8,30,5031
20,9,30,5043
20,10,30,5027
20,11,30,5019
20,12,30,5025
20,13,30,5021
20,14,30,5022
20,15,30,5022
20,16,30,5029
20,17,30,5029
20,18,30,5046
20,19,30,5049
20,20,30,5050
30,1,40,5060
30,2,41,4877
30,3,41,4853
30,4,41,4848
30,5,41,4853
30,6,41,4857
30,7,41,4868
30,8,41,4891
30,9,40,4896
30,10,41,4897
30,11,41,4901
30,12,41,4901
30,13,41,4916
30,14,41,4915
30,15,41,4960
30,16,41,4938
30,17,41,4936
30,18,40,4987
30,19,40,4969
30,20,40,5000
40,1,65,5001
40,2,65,11254
40,3,65,11154
40,4,65,11127
40,5,65,11107
40,6,65,11110
40,7,65,11246
40,8,64,11255
40,9,64,11297
40,10,64,11427
40,11,64,11305
40,12,63,11685
40,13,64,11555
40,14,64,11669
40,15,64,11772
40,16,64,11819
40,17,64,11848
40,18,64,11826
40,19,64,11822
40,20,64,11809
50,1,68,11922
50,2,68,2360
50,3,67,2416
50,4,69,2227
50,5,68,2345
50,6,70,2091
50,7,68,2481
50,8,68,2482
50,9,66,2772
50,10,67,2714
50,11,68,2595
50,12,68,2662
50,13,69,2464
50,14,68,2622
50,15,69,2534
50,16,69,2308
50,17,67,2951
50,18,68,2487
50,19,70,2378
50,20,69,2345
60,1,102,2403
60,2,102,5918
60,3,103,5847
60,4,103,5848
60,5,103,5838
60,6,103,5849
60,7,103,5871
60,8,102,5874
60,9,103,5792
60,10,103,5764
60,11,104,5755
60,12,103,5806
60,13,104,5749
60,14,104,5767
60,15,103,5873
60,16,105,5699
60,17,105,5705
60,18,105,5658
60,19,105,5589
60,20,105,5569
70,1,144,5551
70,2,144,3719
70,3,144,3724
70,4,143,3747
70,5,143,3760
70,6,143,3769
70,7,143,3767
70,8,142,3812
70,9,142,3830
70,10,141,3866
70,11,141,3877
70,12,141,3886
70,13,141,3896
70,14,141,3915
70,15,140,3934
70,16,140,3936
70,17,140,3946
70,18,140,3950
70,19,140,3944
70,20,140,3936
80,1,174,3923
80,2,174,2839
80,3,174,2839
80,4,174,2843
80,5,174,2848
80,6,173,2849
80,7,174,2848
80,8,175,2859
80,9,173,2854
80,10,86,12046
80,11,87,11812
80,12,170,2935
80,13,170,2934
80,14,170,2943
80,15,170,2941
80,16,170,2939
80,17,170,2952
80,18,170,2951
80,19,170,2951
80,20,169,2958
90,1,112,2958
90,2,112,11109
90,3,112,11255
90,4,112,11325
90,5,112,11329
90,6,111,11608
90,7,111,11778
90,8,111,11788
90,9,110,12086
90,10,110,12477
90,11,109,12796
90,12,109,13083
90,13,109,13028
90,14,109,13067
90,15,109,12977
90,16,109,12565
90,17,110,11879
90,18,110,11530
90,19,111,10891
90,20,112,10375
100,1,138,10064
100,2,138,5093
100,3,137,5433
100,4,137,5524
100,5,136,5581
100,6,136,5611
100,7,136,5553
100,8,135,5787
100,9,135,5774
100,10,134,5908
100,11,133,5969
100,12,133,6071
100,13,133,6052
100,14,133,6123
100,15,132,6229
100,16,132,6269
100,17,132,6266
100,18,131,6425
100,19,130,6603
100,20,130,6668
