Position_cm,Measurement_index,Distance_cm,strenght
0,1,3,1300
0,2,2,1303
0,3,2,1302
0,4,2,1305
0,5,3,1305
0,6,2,1302
0,7,1,1302
0,8,2,1308
0,9,2,1307
0,10,0,959
0,11,0,960
0,12,0,960
0,13,0,956
0,14,0,963
0,15,0,955
0,16,0,956
0,17,0,957
0,18,0,951
0,19,0,958
0,20,0,948
10,1,7,953
10,2,7,4555
10,3,8,4599
10,4,8,4626
10,5,8,4647
10,6,8,4677
10,7,8,4696
10,8,7,4745
10,9,8,4755
10,10,7,4767
10,11,7,4789
10,12,7,4794
10,13,7,4806
10,14,7,4786
10,15,7,4782
10,16,7,4756
10,17,7,4747
10,18,7,4735
10,19,7,4722
10,20,7,4686
20,1,17,4657
20,2,17,5099
20,3,17,5079
20,4,17,5069
20,5,17,5028
20,6,17,5021
20,7,17,5025
20,8,17,4979
20,9,17,4981
20,10,17,4957
20,11,17,4969
20,12,17,4959
20,13,17,4975
20,14,17,4959
20,15,18,4938
20,16,17,4912
20,17,18,4913
20,18,17,4913
20,19,17,4900
20,20,17,4902
30,1,27,4890
30,2,27,4530
30,3,27,4540
30,4,27,4548
30,5,27,4575
30,6,27,4589
30,7,27,4613
30,8,27,4631
30,9,27,4645
30,10,27,4663
30,11,27,4717
30,12,27,4745
30,13,27,4783
30,14,27,4814
30,15,27,4844
30,16,27,4876
30,17,27,4909
30,18,27,4947
30,19,27,4974
30,20,27,4990
40,1,37,5009
40,2,37,5120
40,3,37,65535
40,4,37,7048
40,5,37,6946
40,6,37,6899
40,7,37,6869
40,8,37,6879
40,9,37,6852
40,10,37,6887
40,11,37,6847
40,12,37,6822
40,13,37,6823
40,14,37,6801
40,15,37,6803
40,16,37,6770
40,17,37,6780
40,18,37,6763
40,19,37,6753
40,20,37,6745
50,1,47,6780
50,2,47,2141
50,3,47,2147
50,4,48,2141
50,5,48,2128
50,6,48,2130
50,7,48,2125
50,8,48,2126
50,9,48,2125
50,10,47,2119
50,11,48,2122
50,12,48,2121
50,13,48,2123
50,14,47,2121
50,15,48,2110
50,16,48,2105
50,17,48,2116
50,18,48,2091
50,19,48,2103
50,20,48,2098
60,1,59,2093
60,2,59,9655
60,3,59,9664
60,4,59,9646
60,5,59,9661
60,6,59,9654
60,7,59,9637
60,8,59,9641
60,9,59,9658
60,10,59,9647
60,11,59,9657
60,12,59,9652
60,13,59,9663
60,14,59,9638
60,15,59,9649
60,16,59,9658
60,17,59,9663
60,18,59,9669
60,19,59,9669
60,20,59,9674
70,1,69,9676
70,2,69,7483
70,3,69,7513
70,4,69,7498
70,5,69,7521
70,6,69,7522
70,7,69,7537
70,8,69,7509
70,9,69,7531
70,10,69,7501
70,11,69,7519
70,12,69,7516
70,13,69,7504
70,14,69,7496
70,15,69,7513
70,16,69,7500
70,17,69,7510
70,18,69,7503
70,19,69,7501
70,20,69,7500
80,1,79,7506
80,2,79,7165
80,3,79,7118
80,4,79,7088
80,5,79,7109
80,6,79,7104
80,7,79,7099
80,8,79,7102
80,9,79,7112
80,10,79,7120
80,11,79,7116
80,12,79,7122
80,13,79,7115
80,14,79,7109
80,15,79,7117
80,16,79,7116
80,17,79,7112
80,18,79,7126
80,19,79,7112
80,20,79,7117
90,1,89,7120
90,2,89,4508
90,3,89,4463
90,4,90,4470
90,5,89,4461
90,6,90,4470
90,7,89,4464
90,8,90,4466
90,9,90,4455
90,10,90,4462
90,11,90,4467
90,12,90,4461
90,13,90,4463
90,14,89,4459
90,15,89,4458
90,16,89,4464
90,17,89,4451
90,18,89,4473
90,19,89,4464
90,20,90,4464
100,1,99,4459
100,2,99,12551
100,3,99,11141
100,4,100,11139
100,5,100,11092
100,6,99,11091
100,7,99,11076
100,8,100,11090
100,9,100,11064
100,10,100,11052
100,11,100,11058
100,12,100,11047
100,13,100,10900
100,14,100,11007
100,15,100,10961
100,16,100,10978
100,17,100,10987
100,18,100,11016
100,19,100,11070
100,20,100,11079
